site,domain_name,chat_gpt_score,gemini_score,gemini_version
https://www.everydayhealth.com/privacyterms/#everyday_health_privacy_policy,Everyday Health,62,52,gemini_2.0_flash
https://www.webmd.com/about-webmd-policies/about-privacy-policy,WebMD,67,57,gemini_deep_research
https://www.sanforddermatology.com/your-privacy,Sanford Dermatology,24,57,gemini_deep_research
https://www.drugwatch.com/privacy-policy/,Drugwatch,44,59,gemini_deep_research
https://www.aocd.org/page/PrivacyPolicy,American Osteopathic College of Dermatology,26,54,gemini_2.5_pro
https://www.emedicinehealth.com/privacy_policy/info.htm,EMedicineHealth,67,62,gemini_2.5_pro
https://www.mountsinai.org/privacy,Mount Sinai,45,60,gemini_2.5_pro
https://mind.org.uk/legal-info/privacy-policy/,Mind,52,64,gemini_2.5_pro
https://beyondblue.org.au/general/privacy-policy,Beyond Blue,68,60,gemini_2.5_pro
https://kidshealth.org/en/parents/policy.html,Kids Health,34,50,gemini_deep_research
https://www.nhsinform.scot/privacy-and-cookies-policy/,NHS Inform,62,49,gemini_deep_research
https://nimh.nih.gov/site-info/privacy-policy,National Institute of Mental Health,43,49,gemini_deep_research
https://www.cope.org.au/privacy-policy,COPE,45,49,gemini_deep_research
https://ama-assn.org/about/privacy-policy,American Medical Association,60,49,gemini_deep_research
https://helpguide.org/privacy-policy,HelpGuide,46,27,gemini_2.0_flash_thinking
https://it.johnshopkins.edu/policies/privacystatement,IT at Hopkins,46,29,gemini_2.0_flash_thinking
https://childline.org.uk/legal/privacy-policy/,Childline,53,38,gemini_2.0_flash_thinking
https://adaa.org/privacy-policy,Anxiety and Depression Association,44,34,gemini_2.0_flash_thinking
https://headspace.org.au/eheadspace-privacy-policy/,Headspace,31,42,gemini_2.0_flash_thinking
https://blackdoginstitute.org.au/privacy-policy/,Black Dog Institute,54,36,gemini_2.0_flash_thinking
https://au.reachout.com/our-policies/privacy-policy,Reachout Australia,62,36,gemini_2.0_flash_thinking
https://healthhub.sg/privacy-policy,HealthHub,60,42,gemini_2.0_flash_thinking
https://positivepsychology.com/privacy-policy/,PositivePsychology,47,39,gemini_2.0_flash_thinking
https://thiswayup.org.au/privacy-policy/,This Way Up,10,43,gemini_2.0_flash_thinking
https://stapsychology.com/privacy-policy/,ST&A Psychology,25,30,gemini_2.0_flash_thinking
https://ucihealth.org/website-privacy-policy,UCI Health,51,41,gemini_2.0_flash_thinking
https://getmosh.com.au/privacy,Mosh,58,42,gemini_2.0_flash_thinking
https://www.whattoexpect.com/privacy-policy#health-data-policy,Getting Pregnant What To Expect,67,59,gemini_2.0_flash_thinking
https://medparkhospital.com/page/privacy-policy,Medpark Hospital - Thai,49,34,gemini_2.0_flash_thinking
https://flo.health/privacy-policy,Flo,61,62,gemini_2.0_flash_thinking
https://attiliodalberto.com/privacy-notice.php,Dr (TCM) Attilio D'Alberto,56,26,gemini_2.0_flash_thinking
https://www.upmc.com/patients-visitors/privacy-info/terms-of-use,UPMC,62,33,gemini_2.0_flash_thinking
https://myhealth.alberta.ca/Pages/Privacy-Statement.aspx,MyHealth Alberta,47,29,gemini_2.0_flash_thinking
https://au.clearblue.com/privacy-policy,Clearblue,52,32,gemini_2.0_flash_thinking
https://www.tommys.org/about-us/tommys-policies/tommys-data-protection-and-privacy-policy,Tommys,52,40,gemini_2.0_flash_thinking
https://ssmhealth.com/notice-privacy-practices,SSM Health,49,36,gemini_2.0_flash_thinking
https://aptaclub.co.uk/privacy-policy.html,Aptamil,63,33,gemini_2.0_flash_thinking
https://americanpregnancy.org/privacy-policy/,American Pregnancy Association,25,41,gemini_2.0_flash_thinking
https://stardiscountchemist.com.au/privacy-policy,Star Discount Au,50,46,gemini_2.0_flash_thinking
https://nuhs.edu.sg/privacy,NUHS,21,42,gemini_2.0_flash_thinking
https://pregnancyparenting.org.au/our-privacy-policy,Pregnancy to Parenting Australia,23,29,gemini_2.0_flash_thinking
https://healthify.nz/about-healthify/our-policies#privacy-cookies,Healthify,23,21,gemini_2.0_flash_thinking
https://www.mdanderson.org/about-md-anderson/business-legal/legal-and-policy/legal-statements/privacy-policy.html,MD Anderson Cancer Center,56,32,gemini_2.0_flash_thinking
https://stamfordhealth.org/webprivacy/,Stamford Health,56,32,gemini_2.0_flash_thinking
https://massgeneralbrigham.org/en/notices,Mass General Brigham,41,35,gemini_2.0_flash_thinking
https://diabetes.org.uk/legal-information/privacy-policy1,Diabetes UK,65,53,gemini_2.0_flash_thinking
https://mfm.au/privacy-policy/,Melbourne Functional Medicine,63,41,gemini_2.0_flash_thinking
https://www.gradyhealth.org/privacy/,Grady Health,46,46,gemini_2.0_flash_thinking
https://khealth.com/privacy-policy/,K Health,58,55,gemini_2.0_flash_thinking
https://diatribe.org/privacy-policy,DiaTribe,42,40,gemini_2.0_flash_thinking
https://www.ndtv.com/convergence/ndtv/new/privacy_policy.aspx#pfrom=home-ndtv_footer,NDTV,38,39,gemini_2.0_flash_thinking
https://felixhospital.com/privacy-policy,Felix Hospital,41,42,gemini_2.0_flash_thinking
https://abbott.com/privacy-policy.html,Abbott,66,42,gemini_2.0_flash_thinking
https://www.va.gov/privacy-policy/,Veterans Affairs,40,38,gemini_2.0_flash_thinking
https://rosewellness.com/privacy-policy/,Rose Wellness,51,38,gemini_2.0_flash_thinking
https://thediabeteskitchen.com.au/policies/privacy-policy,The Diabetes Kitchen,35,31,gemini_2.0_flash_thinking
https://nutritionaustralia.org/privacy-policy,Nutrition Australia,16,34,gemini_2.0_flash_thinking
https://www.ucla.edu/terms-of-use,UCLA Med School,36,22,gemini_2.0_flash_thinking
https://timesofindia.indiatimes.com/privacy-policy/cookiepolicy/86934312.cms,Times of India,50,40,gemini_2.0_flash_thinking
